,State,County,Tract,Block_group,state,county,tract,block group,GEOID,population,white_only,black_only,aian_alone,asian_only,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority
183,01,005,950900,1,01,005,950900,1,10059509001,1063,64.91,27.66,0.0,1.41,0.0,6.02,18.25,14.49,71.5,14.02,1
184,01,005,950900,2,01,005,950900,2,10059509002,1666,30.55,58.64,0.54,0.3,0.0,5.94,31.53,10.56,68.79,20.65,2
185,01,005,950900,3,01,005,950900,3,10059509003,937,5.23,62.97,0.0,0.0,0.0,31.8,81.75,32.02,59.87,8.11,2
186,01,007,010001,1,01,007,010001,1,10070100011,1347,91.17,8.83,0.0,0.0,0.0,0.0,16.23,16.41,67.63,14.33,1
187,01,007,010001,2,01,007,010001,2,10070100012,647,98.61,1.24,0.0,0.0,0.0,0.15,41.73,12.67,67.23,20.09,1
188,01,007,010005,1,01,007,010005,1,10070100051,961,97.29,0.62,0.0,0.0,0.0,1.87,9.57,4.06,72.63,23.31,1
189,01,007,010005,2,01,007,010005,2,10070100052,1274,85.95,10.83,0.0,0.0,0.0,2.35,13.34,15.38,59.65,24.96,1
190,01,007,010005,3,01,007,010005,3,10070100053,2037,87.48,2.55,0.0,0.0,0.0,9.62,13.8,19.39,74.47,5.01,1
191,01,007,010006,1,01,007,010006,1,10070100061,873,81.1,13.29,0.0,0.0,0.0,0.0,6.19,16.38,74.57,9.05,1
192,01,007,010006,2,01,007,010006,2,10070100062,407,96.07,0.0,0.0,0.0,0.0,3.93,19.16,6.39,67.57,26.04,1
193,01,007,010007,1,01,007,010007,1,10070100071,1275,88.24,11.76,0.0,0.0,0.0,0.0,19.45,4.08,84.08,11.84,1
194,01,007,010007,2,01,007,010007,2,10070100072,1098,90.62,9.38,0.0,0.0,0.0,0.0,1.82,2.19,78.6,19.22,1
