,STATE,NAME,geometry
30030,FL,cvs,POINT (-82.6394659 27.7298947)
30031,FL,cvs,POINT (-82.7393867 28.1456545)
30032,FL,walgreens,POINT (-82.7533494 27.8079584)
30033,FL,walgreens,POINT (-82.7860403 27.8400484)
30034,FL,walgreens,POINT (-82.6476562 27.8216426)
30035,FL,walgreens,POINT (-82.6787819 27.7705007)
30040,FL,cvs,POINT (-82.6392613 27.8217257)
30041,FL,cvs,POINT (-82.7885043 27.9172107)
30042,FL,cvs,POINT (-82.6800372 27.77033)
30043,FL,cvs,POINT (-82.7681307 28.0684966)
30044,FL,cvs,POINT (-82.7629411 27.8731698)
30045,FL,cvs,POINT (-82.7084575 28.0626338)
30046,FL,cvs,POINT (-82.7127434 27.7713913)
30048,FL,walgreens,POINT (-82.6444145 27.8668735)
30049,FL,walgreens,POINT (-82.7923213 27.8108329)
30050,FL,walgreens,POINT (-82.7865098 27.8952654)
30052,FL,"walmart, wal-mart",POINT (-82.6822805 27.7362038)
30053,FL,walgreens,POINT (-82.7277596 27.7900898)
30054,FL,walgreens,POINT (-82.7620638 27.9600311)
30055,FL,walgreens,POINT (-82.7863745 27.8646783)
30056,FL,walgreens,POINT (-82.6459462 27.7808575)
30072,FL,cvs,POINT (-82.3273343 27.856426)
30080,FL,"walmart, wal-mart",POINT (-82.3928246 28.8576582)
30098,FL,walgreens,POINT (-82.7388315 28.0952941)
30101,FL,walgreens,POINT (-82.8022199 27.9140097)
30109,FL,cvs,POINT (-81.801579 26.3005926)
30118,FL,cvs,POINT (-82.4348446 27.484792)
30122,FL,"walmart, wal-mart",POINT (-82.7739168 27.9885096)
30136,FL,walgreens,POINT (-82.1891546 28.2512532)
30173,FL,"walmart, wal-mart",POINT (-82.3006988 29.6640221)
30176,FL,walgreens,POINT (-82.3961012 27.4311647)
30177,FL,walgreens,POINT (-82.7269973 28.2496444)
30178,FL,walgreens,POINT (-82.5480129 28.4332819)
30179,FL,cvs,POINT (-81.875682 30.062621)
30183,FL,cvs,POINT (-82.3712823 29.6515541)
30189,FL,cvs,POINT (-81.7024415 30.1662549)
30190,FL,cvs,POINT (-82.4967957 29.653416)
30191,FL,cvs,POINT (-82.4629034 27.3394333)
30193,FL,walgreens,POINT (-82.2686156 27.8931077)
30195,FL,walgreens,POINT (-82.2425215 27.8931507)
30196,FL,walgreens,POINT (-81.8438812 26.5459104)
30200,FL,cvs,POINT (-81.9077031 28.0493258)
30201,FL,cvs,POINT (-81.9595347 27.9744396)
30202,FL,cvs,POINT (-81.7836488 28.0578763)
30205,FL,walgreens,POINT (-82.0391942 26.6403901)
30206,FL,walgreens,POINT (-82.4661338 28.9227744)
