State,County,Tract,GEOID,population,white_alone,black_alone,aian_alone,asian_alone,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority
15,3,8013,15003008013,2083,3.7,0.0,0.0,71.24,2.98,9.99,0.05,1.58,55.26,42.25,asian_alone
15,3,8301,15003008301,4968,39.25,5.96,0.0,9.7,10.45,19.14,8.18,2.31,65.3,21.66,other
15,3,8302,15003008302,5978,4.08,0.0,0.0,56.76,11.49,12.96,10.08,4.1,70.16,25.09,asian_alone
15,3,8405,15003008405,4902,8.08,8.98,0.0,46.57,5.22,7.79,3.39,5.88,79.48,12.51,other
15,3,8407,15003008407,4487,16.76,4.52,0.0,31.56,7.58,17.78,11.18,1.49,74.17,19.77,other
15,3,8408,15003008408,9141,31.69,5.28,0.65,33.34,1.49,9.56,1.87,2.47,68.6,20.97,other
15,3,8410,15003008410,5211,12.34,2.49,0.67,51.43,3.99,11.73,2.02,1.75,73.48,21.63,asian_alone
15,3,8411,15003008411,3698,8.06,2.89,0.0,42.86,1.73,15.36,3.3,2.3,78.69,17.85,other
15,3,8413,15003008413,2810,4.98,0.18,0.0,60.28,19.22,6.55,4.86,4.34,70.14,24.59,asian_alone
15,3,8414,15003008414,2493,16.29,8.18,0.0,39.35,9.19,6.82,0.0,0.92,63.94,25.15,other
15,3,8415,15003008415,4374,11.66,5.37,0.0,34.36,1.26,18.52,4.34,7.38,64.61,24.9,other
15,3,8416,15003008416,3446,7.63,1.48,0.0,50.26,9.29,11.87,1.92,12.77,65.35,20.55,asian_alone
15,3,8417,15003008417,4294,13.41,1.75,0.0,34.63,5.19,17.54,4.08,1.05,77.48,17.51,other
15,3,8418,15003008418,5015,9.75,0.0,0.0,38.92,10.67,21.54,11.95,2.61,75.93,19.54,other
15,3,8502,15003008502,2421,14.7,10.82,1.03,14.25,24.82,11.28,21.73,1.65,73.48,19.87,other
15,3,8609,15003008609,1966,24.26,1.02,0.0,23.75,20.45,13.33,4.81,4.22,64.29,27.01,other
15,3,8610,15003008610,1010,60.79,0.59,0.0,14.95,2.57,12.38,1.29,0.4,59.41,33.76,white_alone
15,3,8611,15003008611,26,0.0,0.0,0.0,30.77,0.0,42.31,0.0,0.0,65.38,34.62,other
15,3,8623,15003008623,5050,11.72,0.38,0.0,21.64,12.79,13.7,2.55,2.48,79.47,16.77,other
