STATE,geometry
OR,POINT (-122.46337 45.537072)
OR,POINT (-122.48326 45.540672)
MA,POINT (-71.061647 42.338017)
TX,POINT (-98.482612 29.557531)
WA,POINT (-122.507837 48.760755)
MA,POINT (-71.131328 41.939392)
CA,POINT (-118.222748 33.84884)
CA,POINT (-118.210588 34.005555)
CA,POINT (-118.204318 34.000303)
WI,POINT (-88.199148 43.130082)
WI,POINT (-88.735103 42.587659)
CA,POINT (-117.906784 33.85514)
CA,POINT (-117.880741 33.815761)
OR,POINT (-119.374209 45.793568)
MA,POINT (-70.927232 41.636291)
OH,POINT (-82.015642 39.95006)
NJ,POINT (-75.328352 39.638998)
GA,POINT (-83.731411 34.346512)
VA,POINT (-76.627894 37.002922)
AL,POINT (-88.043819 30.704911)
NM,POINT (-106.762795 32.267924)
OH,POINT (-84.535123 39.098587)
PA,POINT (-75.771429 41.30811)
PA,POINT (-76.051201 40.937694)
NC,POINT (-80.352672 35.00487)
FL,POINT (-80.368675 25.873964)
CA,POINT (-117.114763 32.654744)
TN,POINT (-86.530442 36.003998)
UT,POINT (-111.980271 41.214538)
AL,POINT (-85.961947 31.821709)
NE,POINT (-97.596644 40.872463)
TX,POINT (-97.324868 32.753403)
CA,POINT (-121.409649 37.744501)
NY,POINT (-76.715833 43.254426)
PA,POINT (-75.346225 40.616315)
WA,POINT (-122.139102 47.682303)
LA,POINT (-90.078996 29.952122)
TN,POINT (-88.843266 36.357122)
WA,POINT (-122.727551 48.990492)
LA,POINT (-91.109737 30.467428)
UT,POINT (-111.916785 40.728624)
TX,POINT (-97.668628 26.257149)
VA,POINT (-76.474215 36.814376)
OH,POINT (-84.192851 39.754187)
FL,POINT (-82.568929 30.190182)
NJ,POINT (-75.006392 39.575276)
NJ,POINT (-75.06489 39.514578)
FL,POINT (-81.411451 28.450313)
CA,POINT (-122.397127 37.654405)
CA,POINT (-121.540291 38.569793)
CA,POINT (-118.23069 33.991057)
PA,POINT (-79.902247 40.614478)
WA,POINT (-122.274151 47.189348)
NC,POINT (-78.109426 35.013723)
MO,POINT (-94.383647 39.091566)
NE,POINT (-95.957006 41.216112)
CA,POINT (-119.744971 36.692395)
TX,POINT (-97.315361 32.818883)
FL,POINT (-81.709363 30.343948)
MI,POINT (-85.625871 44.72577)
SD,POINT (-96.479614 42.506395)
FL,POINT (-81.62583 30.3515)
FL,POINT (-81.625909 30.349299)
NC,POINT (-79.045413 34.607434)
AR,POINT (-93.14087 35.279645)
FL,POINT (-82.122367 28.011594)
CA,POINT (-121.47196 38.503073)
HI,POINT (-157.911437 21.334118)
FL,POINT (-80.141812 26.084657)
TX,POINT (-97.048672 32.720633)
CA,POINT (-122.043558 37.59394)
CA,POINT (-121.123885 37.467759)
CA,POINT (-121.560323 38.592503)
OR,POINT (-123.135622 44.64989)
NY,POINT (-77.189402 43.232817)
IN,POINT (-86.489398 40.039273)
DE,POINT (-75.45111 38.921057)
CA,POINT (-120.91528 37.625063)
NE,POINT (-96.080527 41.185054)
NY,POINT (-72.944479 40.820763)
NY,POINT (-77.061744 43.239594)
ND,POINT (-96.855651 46.876377)
TX,POINT (-101.82957 33.534359)
AR,POINT (-94.136568 36.26292)
TX,POINT (-96.877889 32.81004)
CA,POINT (-120.890015 37.498171)
NJ,POINT (-75.023591 39.489168)
IL,POINT (-87.809879 41.792013)
FL,POINT (-82.524957 27.998378)
MO,POINT (-91.009269 38.969212)
NJ,POINT (-75.215725 39.413903)
WA,POINT (-122.226164 47.473673)
IL,POINT (-88.275344 41.451513)
VA,POINT (-78.161753 39.194413)
OH,POINT (-84.310643 39.352194)
ID,POINT (-116.49838 43.607987)
WA,POINT (-122.232351 47.386379)
MS,POINT (-88.746239 34.252812)
CA,POINT (-119.07468 35.313113)
TX,POINT (-97.437756 25.937715)
OK,POINT (-95.899911 36.177033)
AZ,POINT (-110.847476 32.129643)
LA,POINT (-91.117268 30.470476)
IN,POINT (-85.238201 41.084543)
VA,POINT (-78.8986 38.3957)
IL,POINT (-88.138079 41.32015)
CA,POINT (-117.159582 32.701008)
CA,POINT (-119.340065 36.185787)
AR,POINT (-94.382226 35.304819)
CA,POINT (-118.212881 34.003818)
CA,POINT (-118.210747 34.003879)
CA,POINT (-118.209545 34.003895)
CA,POINT (-118.199658 34.001998)
CA,POINT (-118.235841 34.00399)
CA,POINT (-118.23562 34.003958)
CA,POINT (-118.218999 34.003739)
CA,POINT (-118.217081 34.003748)
WA,POINT (-122.32593 47.586349)
WV,POINT (-77.886529 39.272324)
CA,POINT (-118.201188 33.996458)
NJ,POINT (-75.002689 39.847993)
UT,POINT (-112.033157 41.098907)
TN,POINT (-86.599144 36.019297)
CA,POINT (-119.33252 36.193044)
NJ,POINT (-74.068919 40.781437)
OR,POINT (-123.236703 44.045771)
NY,POINT (-76.894173 43.184492)
TX,POINT (-99.511076 27.551437)
TX,POINT (-99.510339 27.545114)
AR,POINT (-94.163041 36.133511)
WI,POINT (-89.310695 43.083802)
