,state,county,tract,GEOID,population,white_only,black_only,aian_alone,asian_only,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority
101,38,035,010900,38035010900,2068,95.79,0.0,1.02,0.15,0.0,1.4,9.62,4.55,79.3,16.15,1
102,38,035,011000,38035011000,2055,79.08,12.9,3.02,0.0,0.0,4.57,20.5,5.79,78.49,15.47,1
103,38,035,011100,38035011100,5653,96.69,0.67,0.0,0.42,0.0,0.04,4.03,1.06,80.77,18.17,1
104,38,035,011201,38035011201,2735,91.52,3.25,0.0,0.0,0.0,5.16,9.51,7.86,68.37,20.51,1
105,38,035,011202,38035011202,5947,78.9,5.46,1.26,6.51,0.0,4.71,7.74,10.43,72.22,14.29,1
106,38,035,011400,38035011400,2011,93.83,0.0,0.6,0.45,0.0,2.29,4.3,5.32,67.68,26.8,1
107,38,035,011701,38035011701,2149,84.27,4.42,3.63,0.6,0.0,6.19,6.03,3.21,72.92,16.43,1
108,38,035,011702,38035011702,4582,96.53,0.0,0.5,0.31,0.0,1.2,5.33,1.88,80.4,16.65,1
109,38,035,011800,38035011800,1398,98.64,0.43,0.64,0.0,0.0,0.29,11.21,3.72,73.32,19.24,1
110,38,035,011900,38035011900,2785,64.6,10.27,0.61,2.15,1.83,15.73,4.44,0.43,31.42,26.82,1
111,38,035,012000,38035012000,2592,90.16,0.27,2.39,0.15,0.0,3.47,5.17,8.29,63.43,26.47,1
112,38,037,965900,38037965900,2318,95.0,0.0,1.16,1.6,0.04,0.69,10.49,6.13,65.7,26.01,1
113,38,039,968600,38039968600,2314,96.37,0.0,1.04,0.0,0.0,1.56,4.33,3.67,68.5,23.73,1
114,38,041,964700,38041964700,1102,93.28,0.0,0.18,0.0,0.09,4.26,10.73,12.7,62.25,21.42,1
